Comentário;Sentimento
Oportunidade de crescimento e desenvolvimento, viagens internacionais, programas de Diversidade, ambiente aberto para exposição de novas ideias, inovação, etc.;positivo
Processo de trainee poderia ser melhor estruturado. Quando você é aprovado no processo, não necessariamente terá uma vaga para você. Isso pode ser um tanto frustrante e desmotivador.;negativo
Empresa grande, oferece treinamentos no exterior, possibilidade de crescimento de carreira e oportunidade de transferência internacional. O salários são de acordo com o mercado.;positivo
"Muita burocracia, as pessoas são incentivadas a competirem entre si, o que gera bastante estresse desnecessário. Além disso, são cobradas diversas atividades ""extra curriculares"", que não constam como hora extra.";negativo
flexibilidade, diversidade de posições e areas. nao é necessario estar em uma area para crescer dentro dela, grande chances de rotatividade entre areas.;positivo
muito dificil de acelerar carreira por burocracias de RH. se voce entra com nivel baixo, ira demorar muito para acelerar a sua carreira. nao existe pulo de nivel;negativo
"Ambiente descontraído; estagiários tem liberdade e confiança para tocar projetos; aprendizado do estagiário é tido como prioridade; incentivo à inovação.";positivo
"Excesso de terceirização e poucas oportunidades para efetivação/trainee; muitas reestruturações atrapalham o entendimento do organograma; comunicação entre algumas áreas é confusa e ineficiente.";negativo
Empresa grande com excelentes benefícios. Salário também é bastante compatível com o mercado. Ótimas oportunidades de treinamentos e desenvolvimento. Horário de trabalho totalmente flexível. Ética é levada muito a sério.;positivo
Por ser uma empresa bastante grande e complexa em termos organizacionais, às vezes a burocracia impera, e processos que em tese deveriam ser simples acabam se tornando difícil.;negativo
Empresa flexível, com possibilidade de fazer home office, ótimos benefícios, e com plano de carreira bem estruturado, possibilitando boas oportunidades de crescimento.;positivo
RH com pouca transparência, demora para reposição de posições chaves para o andamento do planejamento estratégico da empresa, o reconhecimento nem sempre é dado para todos os envolvidos em uma iniciativa.;negativo
Liberdade com horários, trabalho home office, férias de 01 dia e ou antecipação de férias mesmo sem estarem vencidas, day off no dia do seu aniversário.;positivo
A empresa sempre divulgou que é super inclusiva, respeitando as diversidades, mas não é bem assim. Se os funcionários não se juntarem isso não ocorre. Pressão por metas são constantes. Ninguém ajuda ou auxilia ninguém, as pessoas se acham!!!!;negativo
Bom ambiente de trabalho. Valoriza a qualidade de vida de seus funcionários. Flexibilidade de horário e possibilidade de sempre que possível fazer Home office. Excelente infraestrutura para trabalhar.;positivo
Alguns pontos relacionados às políticas de RH estão um pouco defasados, bem como a política de avaliação de funcionários. Alguns benefícios estão fora da realidade para a localização da empresa (VR).;negativo
Dependendo da área em que atua, é possível trabalhar homeoffice alguns dias da semana. É possível migrar para outras áreas/estruturas, tendo a sensação de ter trabalhado em várias empresas.;positivo
Alguns processos são muito lentos e burocráticos, em função do tamanho da empresa. Há áreas que possuem um número enorme de reuniões semanais, o que acaba sendo muito improdutivo.;negativo
Política de home office, horário flexível, mimos como manicure e massagem, além de copa bem completa. Ambiente agradável, com escritório moderno.;positivo
Sem planos de carreira e avaliação definidos, qualquer promoção fica a critério de casa gestor, sem nenhuma previsão. Meritocracia na maioria das vezes não é o primordial.;negativo
Mobilidade, home office, flexibilidade, salário, tradição e cultura da empresa, posição da empresa no mercado, etc.;positivo
Burocracia, benefícios(alteração no plano de saúde e vale refeição baixo), falta de planejamento, algumas coisas ainda muito tradicionais para uma empresa de TI, ambiente meio careta.;negativo
Salário. Plataforma e produto de ótima qualidade. Visão estratégica correta na alta direção. Experiência única de trabalho em ambiente corporativo;positivo
Não se pode confiar na gerência direta, muito jogo corporativo. A mensagem dada pelo CEO não se aplica no dia a dia da empresa. A mentalidade das pessoas não mudou o suficiente;negativo
Incentivo sobre a diversidade. Momento de transformação da empresa. Começam a estimular uma nova cultura de vendas. Forte liderança. Horário de trabalho flexível;positivo
Ainda muito burocracia e quadrada. A mudança ainda é lenta. Existe a cultura de longas jornadas de trabalho, apesar do horário flexível  o que transparece baixa produtividade.;negativo
Nada bom ou ruim. Gostava do trabalho, mas não o quero de volta. Eu ficava apenas numa sala fazendo vários nadas, apenas relatórios e ia de setor em setor entregalos.;positivo
Nada ruim nem bom, gostava de trabalhar lá. Não voltaria se pudesse. Era abafado a sala e eu andava demais pra poder entregar meus relatórios.;negativo
Sistemas de informação gerenciais, nível geral dos funcionários, segmento de negócios com muito dinamismo e oportunidades de inovação, o que pode ser positivo profissionalmente.;positivo
Nada gritantemente e absolutamente negativo. Quaisquer críticas seriam mais individuais, dependendo das perspectivas e ambições profissionais de cada um.;negativo
Flexibilidade horários, autonomia, aprendizado diário, ótima estrutura, treinamentos acessíveis. Home office, ferramentas diversas para execução do trabalho.;positivo
Apenas alguns pontos negativos se comparar um terceirizado com contratado efetivo. Devido a grandiosidade da empresa alguns processos são mais burocráticos mas faz sentido;negativo
Ambiente colaborativo e desafiador. Fácil acesso a executivos de alto nível e você é realmente posto como dono do projeto e responsável por ele.;positivo
Falta de um plano sólido de desenvolvimento dos estagiários, bem como uma visão a eles sobre vagas e possibilidades de efetivação. Sensação de apaga fogo o tempo todo.;negativo
A empresa possui flexibilidade nos horários, o que facilitava para conciliar com aulas da faculdade. Possuía uma lanchonete sempre com frutas frescas e bebidas geladas.;positivo
Possuía uma cultura em que eram esperadas muitas horas extras não remuneradas e não havia empatia por parte da chefia com funcionários que moravam em áreas mais perigosas.;negativo
Flexibilidade de horários , inovação e investimento nos produtos, valores da empresa, diversidade do time, estabilidade, home office, eventos grandes.;positivo
Muita burocracia e complexidade de evoluir com processos, falta de agilidade, pouco desenvolvimento de talentos e geração jovem, liderança em um momento ruim;negativo
Mobilidade e flexibilidade, possibilidade de liderar projetos, contato com clientes, apresendizado cross áreas, times bem estruturados e alinhados com a meta da empresa;positivo
Plano de carreira pouco estruturado, poucas vagas de efetivo. Contratação de tercerizados mal remunerados e com poucos benefícios para substituir esse gap de funcionários efetivos.;negativo
Bastante responsabilidades que não são dadas a estagiários na maioria das empresas. Horários de trabalho flexíveis. Bastante exposição. Poucos níveis hierárquicos.;positivo
Taxa de efetivação MUITO baixa. Dependendo da área e do gestor os trabalhos podem chegar a ser 100% operacionais. Muitas vezes se trabalha bem mais do que a carga horária estabelecida.;negativo
Uma empresa muito séria,e que te dá muitas chances de crescimento.;positivo
Precisa melhorar os salários. Tambem a forma com que se trabalha. Acho que se tivesse caixa e um técnico para configurar os celular o número de venda seria muito maior.;negativo
Flexibilidade, pessoas receptivas, local de trabalho com estacionamento mesmo para os funcionários, aprendizado depende somente de você e da sua motivação.;positivo
Falta de um RH bom! Programas de trainees são abertos somente para cumprir tabela, pois vagas não existem. Não há treinamentos para desenvolvimento de carreira para estagiários.;negativo
Clima leve e com grande reconhecimento no mercado. Colaboradores tendem a serem prestativos e existe opção de rotação entre áreas para aprendizado;positivo
Muita burocracia. Muitos projetos eram impactados pela demora na tomada de decisão e tamanha burocracia. Existem projetos paralelos à sua área, mas os funcionários na dão muita atenção.;negativo
Abre portas e agrega muito para o currículo. Muitas oportunidades de carreiras e de novos contatos. Ambiente agradável e todos unidos para alcançar os benefícios;positivo
Dificil acesso a diretoria, um pouco de briga de eco e as vezes pressão muito grande com os colaboradores que sempre tentam resolver tudo da melhor maneira possível.;negativo
A cultura da empresa e bem aberta, as pessoas estao dispostas a ajudar. Voce tem bastante suporte para seus projetos e liberdade para inovar.;positivo
O trabalho normalmente demanda muito e a cultura de trabalhar onde quiser e quando quiser pode afetar sua vida pessoal. A rotatividade e muito alta.;negativo
Muitos benefícios, como copa com comidas e massagem para funcionarios, além da possibilidade de home office e muitos outros benefícios diversos;positivo
Pouca perspectiva de crescimento quando se trata de estagiários e funcionários terceirizados. Vagas de grande prestígio não são ocupadas por essas pessoas;negativo
A Empresa possui bons benefícios e planos de carreira, flexibilidade com horários e também disponibiliza a possibilidade de fazer Home office.;positivo
Para os Funcionários contratados pela Adecco (vendors) a empresa disponibiliza recursos precários, muito raramente possibilita oportunidades para serem efetivados. Existe um tratamento diferenciado para aqueles que não são FTE.;negativo
Cultura, dinamismo, comunicação entre as áreas e abertura. O aprendizado é incrivel e muito rápido, tem sido uma experiência fantástica desde a entrada como estagiário.;positivo
Falta de transparência do RH, não valorizando os recursos internos. Falta de oportunidades de crescimento e carreiras de entrada e algumas lideranças bem questionáveis.;negativo
Empresa com enorme potencial de vendas, todos os clientes de interessam pelo produto. Quota tangível por quarter e por ano. Sempre está em constante mudança.;positivo
RH ineficiente, poucas oportunidades de crescimento de carreira. As vagas abrem, já com cartas marcadas. Para evoluir na empresa, é preciso muita políticagem.;negativo
Work life balance, home office, horário flexível e ambiente de trabalho muito agradável. A empresa fornece alguns mimos como bebidas, frutas e comida.;positivo
Muita dependência externa para tomada de decisão. Também há certa desvalorização de prestadores de serviços (analistas e assistentes) e funcionários próprios (gerentes e diretores).;negativo
Empresa na maior parte das vezes transparente com seus funcionários. Alta interação com matriz dando exposição aos funcionários que desejam carreira internacional;positivo
Aposta pouco em potencial, muito trabalho e pouco reconhecimento. Baixo investimento ultimamente nas pessoas, escritório muito antigo não reflete a empresa;negativo
Flexibilidade... geladeira com refrigerante e outras guloseimas grátis.... plano de saúde muito bom e odontológico ótimo... liberdade para executar as atividades...home office....;positivo
Um clima um pouco pesado...pessoas são muitos hostis....não tem chance de crescimento...e uma certa instabilidade...todo final de ano fiscal muitas pessoas são demitidas...;negativo
Ambiente descontraído, flexibilidade de horários.;positivo
"É uma empresa que possui muitas ""panelinhas"" nem todos conseguem oportunidades de crescimento devido a isso. O RH sem estrutura.";negativo
Ambiente descontraído estilo Google/Facebook, horários muito flexíveis, pessoas excelentes profissionalmente, gestores líderes, diretores acessíveis e espaço para inovar/trazer novos projetos.;positivo
Muitos processos e necessidade de aprovações da matriz. Link entre programa de estágio e Trainee ainda não está 100%;negativo
É uma empresa organizada, uma maravilha em limpeza, refeição, ambientes, bons planos e projetos maravilhosos.;positivo
Inflexibilidade referente estágios de quem estuda.;negativo
Bons benefícios e salario um pouco acima da média. Bom ambiente de trabalho. Ambiente competitivo e de alta performance Oportunidades para transferencias internas;positivo
Muito trabalho interno, as vezes falta tempo para is clientes. É comum receber emails no final do dia com entregaveis para o dia seguinte pela manhã;negativo
Boa infraestrutura, bons profissionais, ótimos salários e benéficos, boa comunicação entre as pessoas que ocupam o ambiente, super agradável;positivo
Nenhum ponto negativo muito pesado e que mexeu muito comigo, se você é grande e sabe trabalhar e é bom no que faz, não tem porquê se preocupar;negativo
Tecnologia, produtos disponíveis para os funcionarios e também voucher de certificaçoes. Horarios flexiveis e lanchonete ótima, além de local informal;positivo
Pouca perspectiva de crescimento, muito focada em metas e pouco reconhecimento pessoal. Não recomendo para quem quer começar uma carreira, pouco foco no desenvolvimento do estagiario.;negativo
Ambiente de trabalho, companheirismo, lugar de boas amizades, profissionalismo, ambiente para se aprender algo novo, reconhecimento pelo trabalho executado;positivo
Não existe um plano de carreira, falta visão de crescimento da subcontratada, boa empresa mas com pensamento pequeno, sem visão para algo grandioso no futuro;negativo
Liberdade para criar novos projetos, colaboração, oportunidades de crescimento, flexibilidade no horário e local de trabalho também, empresa com muitos jovens.;positivo
A falta de previsibilidade de vagas é um fator bastante negativo. Você só descobre se vai efetivar ou não praticamente no mês final do estágio.;negativo
Ambiente de trabalho, confiança nas pessoas, profissionais incríveis dispostos a passar seu conhecimento, a empresa investe na qualidade de vida dos funcionários.;positivo
Ambiente pode ser competitivo, por haver poucas vagas de efetivação no Brasil, e metas muito rigorosas isso acaba deixando o ambiente de trabalho mais intenso.;negativo
Benefícios razoáveis, oportunidades fora do Brasil;positivo
Politicagem excessiva, falta de transparência, Liderança sem foco no cliente, muita gente acomodada;negativo
Possibilidade de home office, liberdade para trabalhar no tempo que precisa, possibilidade de trabalhar em melhorias de projeto, bom salário e benefícios;positivo
"Atividades ""soltas"", não há documentação de projetos, on boarding ruim, falta de plano de carreira";negativo
Ambiente em geral , estrutura, processos, metodologia, instalações, facilidade no acesso à informação, base de conhecimento, incentivos.;positivo
Pressão, dependendo da gestão não há muita proximidade e o trabalho e a relação de toda uma equipe pode se tornar conturbada principalmente quando envolve profissionais menos experientes.;negativo
Bom controle do seu tempo, muita independência nas atividades e bom suporte tecnológico;positivo
Gestão muito ruim, disputa interna desinteligente e pouca atenção da corp;negativo
Liberdade para trabalhar onde quiser, liberdade com agenda, empoderamento dos funcionários para gerenciarem seu próprio trabalho na companhia;positivo
Politica interna, quotas inatingíveis, falta de work life balance, inexistência de plano de carreira e buracos entre executivos de alto cargo e baixo cargo dificultando escalar na companhia.;negativo
Horário flexível, home office, viagens internacionais, empresa selfservice, ações e salário.;positivo
Falta de organização, HR muito fraco, burocrática, foco totalmente interno (não é no cliente), posições abrem e congelam constantemente sem planejamento, possui mais networking que meritocracia.;negativo
Flexibilidade de horario em relacao a presenca no escritorio e jornada de trabalho. Mobilidade é foco para todos os funcionarios da emrpesa.;positivo
Nem todos os contratados sao de fato contratados diretamente pela microsoft. A maioria são tarceirizados e assim nao possuimos os mesmo beneficios;negativo
Ambiente de trabalho agradável, boa disponibilização de material de trabalho, lanche grátis, horário flexível, boa visibilidade no mercado de trabalho.;positivo
Dificuldade de quadro de carreira, normalmente, as vagas são preenchidas por indicação, e não por merecimento, mas isso é recorrente em muitas empresas.;negativo
Salario competitivo, ambiente informal, em fase de inovacao, encorajando funcionarios a tomarem mais tiscos.;positivo
Poderia ter beneficios melhores. Deveria ter um programa de inducao para novos funcionarios, porque e uma empresa extremamente dificil de entender no primeiro ano.;negativo
Vivese a inovação em tecnologia, ótimas oportunidades para se manter atualizado e ótimas chances de carreira.;positivo
Apesar de ótimas chances de carreira, não existe muita divulgação de oportunidades. Abertura de vagas com nome marcado.;negativo
amplo escopo de trabalho, muitas oportunidades de desenvolvimento. muito treinamento interno disponível. experiencia internacional e multicultural.;positivo
antigos funcionários tem grupos de relacionamento muito fortes. Falta de meritocracia, privilegiando amizades. muita mudança de estrutura (todo ano).;negativo
Flexível, oportunidades, renomada, grandes áreas para aprendizado.;positivo
"Desvanatgem em remuneração de acordo com outras empresas do setor;";negativo
A cultura da empresa, a copa com comida/bebidas e as pessoas bem legais.;positivo
Como estagiário faltava trabalho, estava um pouco desorganizado o programa de estágio. Então ficávamos sem nada pra fazer.;negativo
É divertido, o tempo passa bem rápido trabalhando la, ganha o almoço e fica com o resto do dia vago;positivo
É bem apurado, pois a muitos clientes por ser um lugar conhecido na cidade;negativo
Gosto do que faço e as condições de trabalho permite o mínimo para desempenhar um bom trabalho...;positivo
Sem plano de carreira, atualmente apenas evolui quem participa de panela ..;negativo
Cultura organizacional, home office, ambiente de trabalho, treinamentos, oportunidades abertas, lideracas.;positivo
Algumas de pessoas que trabalham la são folgadas e nao estão preparadas para gerir pessoas. Por ter horário livre, sempre trabalhase a mais.;negativo
Geladeira com toddyinho, de vez em quando tinha energético. Cadeiras extremamente confortáveis. Sala de jogos com Xbox. Tá sendo difícil preencher 140 caracteres com elogios.;positivo
Todo o resto. E só tem jogo ruim na sala de jogos. A Microsoft do Rio de Janeiro só tá ali pra dizer que tá, porque nada de produtivo sai de lá. Passávamos o dia inteiro escovando bits pra nada.;negativo
No escritório em SP, tudo mil maravilhas.;positivo
Data Center é esquecido, o RH nem vai lá. Tudo é feito pelos gerentes e fica por isso mesmo.;negativo
Otima empresa, se preocupa com os funcionarios e tem diversas oportunidades de crescimento de carreira.;positivo
Falta de acompanhamento da evolução do fucionario dentro da empresa, valorização maior de funcionarios externos do que internos.;negativo
Ótimos benefícios, possibilidade de movimentação para diferentes áreas, cultura global com grande preocupação com diversidade e crescimento dos colaboradores, bom balanço entre trabalho e vida pessoal.;positivo
Cultura local ainda muito tradicional, liderança local.;negativo
A tecnologia e os novos produtos, o acesso à informação e o contato com os profissionais, apesar que, nem sempre eles te passam o conhecimento com medo de terem seus tapetes puxados.;positivo
Os Gerentes precisam se ater em desenvolver os funcionários e não se aproveitarem dos pontos fracos dos mesmos para fazer deles seus puxasacos.;negativo
Trabalhar com pessoas de qualidade, como o sistema possui falhas é possivel buscar novos projetos para resolver;positivo
Não tem plano de crescimento de carreira, as pessoas não valorizam seu trabalho;negativo
Flexibilidade de horário, possibilidade de mudança dentro da empresa, ambiente divertido e descontraído;positivo
Necessidade de trabalhar muito além do horário, excessivamente burocrática, muita pressão para regras internas. diferença de cargos;negativo
Ambiente bem tranquilo, horário flexível;positivo
Difícil continuidade na empresa, salário não muito atrativo;negativo
A liberdade para trabalhar. Horarios flexiveis e sem a pressao do resultado imediato como outras empresas.;positivo
Crescimento nao é em uma velocidade satisfatoria.;negativo
bom salário, bons amigos, vários convênios, bons chefes, bons produtos;positivo
muito rígida, varias proibições, horários cansativos, falta de flexibilidade nos horários;negativo
Pessoas muito inteligentes, em especial fora do Brasil, quando temos a oportunidade de realmente ver as novidades.;positivo
A empresa tem muita politicagem e um processo de avaliação retrógrado.;negativo
Flexibilidade, oportunidades de aprendizado, cultura da empresa, convívio com pessoas de diferentes nacionalidades.;positivo
Desorganização, excesso de trabalho, muita burocracia, poucas vagas para jovens crescerem dentro da organização.;negativo
Empresa Global e com ótimas oportunidades de crescimento;positivo
Dificuldade na implantação de mudanças devido ao tamanho da empresa;negativo
Excel Trava muito. Não recomendo. Excel Trava muito. Não recomendo.;positivo
Windows 10 e consumo de HD é cronico. Windows 10 e consumo de HD é cronico.;negativo
O salário é muito bom eu gosto muito da empresa;positivo
Eu trabalho muito o serviço é muito pesado;negativo
horario flexivel networking trabalhar com times de fora do Brasil;positivo
pressão interna muitos estagiários em cargos que demandam uma senhoridade rotatividade muito grande nos cargos;negativo
Desenvolvimento de carreira, oportunidade de crescimento (incluindo fora do Brasil), Trabalhar. Com pessoas inteligentes;positivo
Competicao internal e cobranca em um momento de transformacao;negativo
Excelente para um crescimento profissional, gestão de carreira e dinâmico;positivo
Muitos processos internos, burocracias e competição interna. Muito cacique para pouco índio.;negativo
Flexibilidade de horário, liberdade para home office;positivo
Estrutura muito matricial, bons projetos esbarram em processos burocráticos e determinações corporativas engessadas.;negativo
Salario, flexibilidade, possibilidade de acessar e trabalhar entre areas, inclusive globalmente;positivo
Muita burocracia, as vezes existe falta de planejamento e liberdade localmente.;negativo
Empresa flexível com uma ótima politica de desenvolvimento. Frande autonomia para projetos!;positivo
A comunicação entre os diversos níveis e áreas pode ser melhorada.;negativo
Os horários são bastante flexíveis e a remuneração é ótima;positivo
Existe muita burocracia e processos demorados.;negativo
Home office, área de trabalho com várias coisas para comer.;positivo
Interação com pessoas por conta do home office é fraca .;negativo
boa empresa, condições de vida ótima e sou interessado nesse cargo.;positivo
até onde estou atualizado sobre a impresa nada.;negativo
Aprendizado constante. Ótimos benefícios. Autonomia na execução das atividades.;positivo
Não há plano de carreira. Depende muito de relacionamento.;negativo
condicoes boas de pagamento, e excelentes chefes;positivo
trabalho no perido da noite e folga so uma vez por semana;negativo
Você pode aprender muito se for atrás;positivo
Não tem muito plano de carreira para pessoas que estão ingressando no mercado;negativo
Tenho liberdade para desenvolver projetos;positivo
Não vejo ascensão na carreira de fato;negativo
Acresce muito ao currículo profissional estar em uma empresa como ela.;positivo
Tem um nível de exigência altíssimo.;negativo
Uma das maiores empresas do mundo, ambiente de trabalho respeitoso, bons benefícios;positivo
Meta agressivas, exige dedicação além da conta;negativo
Ótimas oportunidades para aprender e se desenvolver;positivo
Há muita burocracia e complexidade em alguns setores;negativo
Ambiente leve, trabalho colaborativo, e trabalho remoto.;positivo
Algumas pessoas não tão acessíveis.;negativo
Bons funcionários, benefícios bons, ótima carga horária;positivo
Banheiro horríveis, disponibilidade de água muito baixa.;negativo
Empresa com nome muito forte, muitos treinamentos;positivo
Dificuldade de promoção, estratégias em.curto prazo;negativo
Ótima oportunidade para se desenvolver profissionalmente e técnicamente;positivo
Empresa exige bastante e algumas pessoas podem não se adaptar;negativo
Muito contanto com inovações Cultura e qualidade de vida;positivo
Sistema de terceirização para mais da metade das vagas.;negativo
Ótimo ambiente de trabalho aqui no Brasil;positivo
Fácil chutar funcionários, independentemente da performance. Não precisou mais, tchau.;negativo
Oportunidades de conexões interessantes para cultivar lá dentro;positivo
Poucas vagas no Brasil, difícil acesso.;negativo
O ambiente é bom, a forma de trabalho, e as pessoas;positivo
O início de contrato é difícil;negativo
Flexibilidade, cooperação e inovação.;positivo
Estagnação profissional muito cedo.;negativo
empresa bacana, com possibilidade de crescimento e ir pro exterior;positivo
subsidiária de vendas no brasil;negativo
"Bom ambiente de trabalho; Boa remuneração.";positivo
Plano de saúde em Manaus é péssimo.;negativo
e tranquilo pra trabalhar nao tem ninguem pertubando;positivo
Salario muito baixo pouco serviço;negativo
Boa empresa, paga sem atraso, ambiente legal.;positivo
Não é comissionado.;negativo
Flexibilidade de horário, benefícios de mercado.;positivo
O Bônus poderia ser mais agressivo.;negativo
Ambiente bem montado e pessoas muito capacitadas;positivo
Localização poderia ser melhor. Difícil acesso;negativo
Tudo lá é perfeitamente organizado;positivo
Nada como poder trabalhar home;negativo
Longevidade, carreira, aprendizado, crescimento, oportunidade;positivo
Salario para mulheres, processos, work life balance;negativo
Possibilidades, tamanho, gerência, plano, interpessoal;positivo
Titulo, muitas barreiras, burocracia, sem contato externo.;negativo
Flexibilidade, oportunidades de carreira;positivo
Modelo organizacional matricial;negativo
Flexibilidade e ambiente descontraído.;positivo
Dependência da matriz e muitos processos.;negativo
Pessoas inteligentes no ambiente de trabalho;positivo
Não tenho nada contra para mencionar;negativo
bom salário, bom plano de saúde;positivo
worklife balance não muito bom;negativo
Autonomia, flexibilidade, desenvolvimento, estratégia, orgulho;positivo
Burocracia, limitação hierárquica, atemporal, aleatório,;negativo
empresa de renome no mercado re reconhecida;positivo
dificil de manter o cargo;negativo
Oportunidade de crescimento de carreira;positivo
Worklife balance não é favorável;negativo
é uma empresa internacional de renome;positivo
Nenhum ponto negativo a destacar;negativo
Tempo, dinâmico, eficaz, amei, legal;positivo
distancia, unido, feroz, distinto, dinâmico;negativo
Foi muito top essa empresa.;positivo
Nao foi tao top assim.;negativo
Flexibilidade, oportunidades de carreira;positivo
Modelo organizacional matricial;negativo
Flexibilidade e ambiente descontraído.;positivo
Dependência da matriz e muitos processos.;negativo
Pessoas inteligentes no ambiente de trabalho;positivo
Não tenho nada contra para mencionar;negativo
bom salário, bom plano de saúde;positivo
worklife balance não muito bom;negativo
Autonomia, flexibilidade, desenvolvimento, estratégia, orgulho;positivo
Burocracia, limitação hierárquica, atemporal, aleatório,;negativo
empresa de renome no mercado re reconhecida;positivo
dificil de manter o cargo;negativo
Oportunidade de crescimento de carreira;positivo
Worklife balance não é favorável;negativo
é uma empresa internacional de renome;positivo
Nenhum ponto negativo a destacar;negativo
Tempo, dinâmico, eficaz, amei, legal;positivo
distancia, unido, feroz, distinto, dinâmico;negativo
Foi muito top essa empresa.;positivo
Nao foi tao top assim.;negativo
Empresa de reconhecimento PROFISSIONAL ao colaborador;positivo
Cobrança excessiva e sem fundamento;negativo
Empresa com pagamento em dia.;positivo
Lanche péssimo e não tem empatia com funcionários.;negativo
Você não tem custo com alimentação nem hospedagem pois trabalha/vive à bordo de um navio de cruzeiro.;positivo
As vezes, os turnos de trabalho podem ser um pouco puxados e exigir bom preparo físico e mental do empregado.;negativo
Pagamento correto. Processos rápidos. Benefícios bons.;positivo
Falta de comunicação. Falta de empatia.;negativo
Possibilidade de crescimento, valorização do profissional;positivo
No período que trabalhei não vi desvantagens;negativo
Entrei como atendente e em 5 meses consegui promoção para o setor de Qualidade da empresa. Estrutura do prédio organizada, bons chefes, flexibilidade no setor de qualidade, oportunidades de crescimento dentro do setor de qualidade, podendo se tornar analista ou até mesmo oportunidades dentro de outros setores. Adquirir um bom knowhow devido a rotina de trabalho que envolve uso de ferramentas da Microsoft, agendas diárias com clientes com foco na qualidade. É uma empresa muito divertida, nos dias D tem video games, karaoke, danças, algodão doce, pipocas, etc;positivo
Salário incompatível com as responsabilidades do cargo, apesar de que, o conhecimento adquirido me abre muitas portas para uma carreira, então o salário se torna o de menos.;negativo
Não há prós para serem compartilhado;positivo
Localização desfavorável. Clima extremamente adverso. Área de qualidade carente de processos bem definidos. Time de qualidade com falta de expertise na área de qualidade. As responsabilidades do analista de qualidade se assemelham às de um analista de dados pleno  sênior, porém o salário não está alinhado com o mercado. Escassez de benefícios na empresa, com os existentes ficando aquém das normas do mercado.;negativo
A empresa é muito boa. Possui benefícios. Possui muita oportunidades de crescimento.;positivo
O trabalho de atendente é que é ruim. Aquilo que todos já ouvimos e esperamos. Estressante. Não tem o que fazer. Lidar com pessoas é isto. Se frustra quem entra pensando ser algo contrário. É isto. A empresa é ótima, o trabalho é que é estressante.;negativo
Empresa boa de se trabalhar com pessoas bem engajadas;positivo
O gerente da Manutenção é uma pessoa despreparada, se acha o melhor de todos e vive maltratando os profissionais que passam pelo seu setor, um profissional que tem medo de tomarem o seu cargo e pisa nos demais profissionais que estão abaixo dele. Posso dizer com tranquilidade, foi o pior profissional com quem já trabalhei;negativo
a AeC é um lugar cheio de oportunidades para crescer profissionalmente e oferecem uma boa flexibilidade de horários para quem faz faculdade, os gestores são muito gentis e sempre buscam uma forma de melhorar seu desempenho.;positivo
É fácil esquecer em que armário colocou suas coisas.;negativo
Empresa humana focada no relacionamento com responsabilidade.;positivo
Benefícios aquém dos mercado (área administrativa).;negativo
Carga horária, capacitações e oportunidade de crescimento;positivo
Pouco salário pra muito trabalho, VA baixo;negativo
"Suporte ao colaborador; benefício; Dia de recreação; Supervisores atenciosos e que apoiam o time.";positivo
Não tenho nenhuma razão contra.;negativo
Plano de carreira, boa remuneração;positivo
Escala seis por um, um pouco puxado;negativo
Otimos benefícios, ótimo ambiente, boas pessoas.;positivo
Pressão e muita agilidades, as vezes precisa agir sozinha.;negativo
Por ser meio período eu consigo fazer pequenos projetos como freelancer e estudar. Ambiente limpo, organizado, bem decorado, supervisores respeitosos e uma boa política da empresa.;positivo
Salário abaixo da média de mercado.;negativo
Muito boa, ótimas oportunidades e bom desenvolvimento;positivo
Nada contra a empresa, muito boa por sinal;negativo
Todos os benefícios, muitas oportunidades de crescimento;positivo
No período que trabalhei eu não vi muitis contras;negativo
Empresa muito boa com muita segurança financeira;positivo
Possibilidade de crescimento na area tecnologica;negativo
Ótimo localização de trabalho, que é de fácil acesso. Ambiente com salas arejadas. Café diário para todos os funcionários da empresa.;positivo
Falta de apoio dos gestores que manipulam e escondem fatos e informações das entregas aos donos da empresa. Baixa condição no vale refeição que era de R$ 11,00 apenas. Falta de apoio na melhoria dos serviços. Equipes cheias de panelinha principalmente os gestores que usam soluções de seus funcionários sem dar o devido reconhecimento ao provedor da solução. Ambiente com cobranças absurdamente hostil. Gestores com baixa ou até sem qualificação universitária.;negativo
Bom, porém com vários impecilios por parte da empresa;positivo
Conflito de interesses. E entre outras coisas;negativo
Flexibilidade de horário Quantidade de horas por jornada;positivo
Escala 6×1 Mudança aleatória do dia da folga;negativo
empresa com prospeção de crescimeto;positivo
não tenho que falar no momento;negativo
Há varias oportunidades de crescimento, até você atingir um nivel máximo salarial, após isso ha estagnação;positivo
Homeoffice não recebe benefícios nem ajuda, (não recebe VR);negativo
Ambiente familiar, oportunidade de crescimento interno e reconhecimento.;positivo
Valor do VR / VA baixo;negativo
Horário flexível Gestão dos superiores muito bacana;positivo
Salário mínimo,sem plano desajude,sem vale alimentação saudável;negativo
Uma ótima oportunidade para quem quiser começar uma carreira profissional.;positivo
Mudança abrupta de turno. Curto período de descanso.;negativo
A AeC lhe permite aprender enquanto trabalha, dando insumos para gestão caso você queira, ou queira migrar pra outros cantos;positivo
A forma de desenvolvimento caso você não tenha lideres competentes pode ser demorada e lenta, além de burocratica;negativo
Horário de trabalho diferenciado .;positivo
Não consta nada que valha a pena ser dito.;negativo
Comemorações,festas,tem muitos beneficios na empresa;positivo
salário baixo,vr baixo e não dá o suficiente,se você escolhe um turno não consegue mudar fácil;negativo
